YEAR,CRUISE,DoY,LONGITUDE,LATITUDE,SST,SALINITY,fCO2_atm,fCO2_sw,pH
2015.8348,Polarstern,304.6875,-2.0003,50.1847,15.284,35.184,397.1855062,437.833,8.014688476
2015.8348,Polarstern,304.6882,-2.0051,50.1837,15.282,35.185,397.1855843,438.0294,8.014525364
2015.8348,Polarstern,304.6889,-2.0099,50.1828,15.281,35.186,397.1856623,438.0109,8.014545711
2015.8348,Polarstern,304.6896,-2.0149,50.1817,15.28,35.187,397.1857404,438.0883,8.014484284
2015.8348,Polarstern,304.6903,-2.0197,50.1807,15.279,35.188,397.1858184,438.1114,8.01446916
2015.8348,Polarstern,304.691,-2.0245,50.1796,15.278,35.188,397.1858965,438.006,8.014558856
2015.8348,Polarstern,304.6917,-2.0293,50.1785,15.277,35.189,397.1859745,437.9875,8.014579204
2015.8348,Polarstern,304.6924,-2.0341,50.1775,15.276,35.189,397.1860526,437.779,8.014756876
2015.8348,Polarstern,304.6931,-2.0389,50.1764,15.275,35.19,397.1861306,437.9505,8.014615154
2015.8348,Polarstern,304.6938,-2.0437,50.1755,15.275,35.191,397.1862087,437.907,8.014657002
2015.8348,Polarstern,304.6944,-2.0502,50.1742,15.273,35.192,397.1862756,437.7759,8.014773233
2015.8348,Polarstern,304.6951,-2.055,50.1733,15.272,35.192,397.1863536,437.9998,8.014582074
2015.8348,Polarstern,304.6958,-2.0598,50.1724,15.271,35.192,397.1864317,437.8329,8.014724254
2015.8348,Polarstern,304.6972,-2.0646,50.1714,15.27,35.193,397.1865878,438.1021,8.014499237
2015.8348,Polarstern,304.6979,-2.0695,50.1705,15.269,35.194,397.1866659,438.1777,8.014439354
2015.8348,Polarstern,304.6986,-2.0742,50.1696,15.267,35.195,397.1867439,438.1407,8.01447529
2015.8348,Polarstern,304.6993,-2.0792,50.1687,15.267,35.195,397.186822,438.2366,8.014393538
2015.8348,Polarstern,304.7,-2.0838,50.1678,15.266,35.195,397.1869,437.9828,8.014609753
2015.8348,Polarstern,304.7007,-2.0886,50.1668,15.266,35.196,397.1869781,438.1222,8.014495632
2015.8348,Polarstern,304.7014,-2.0932,50.1659,15.264,35.197,397.1870561,438.0416,8.014568749
2015.8348,Polarstern,304.7021,-2.0979,50.1649,15.263,35.197,397.1871342,438.1173,8.014504025
2015.8348,Polarstern,304.7028,-2.1025,50.1639,15.262,35.198,397.1872122,438.0987,8.014524453
2015.8348,Polarstern,304.7035,-2.1072,50.1629,15.26,35.199,397.1872903,438.2535,8.014396877
2015.8348,Polarstern,304.7042,-2.112,50.162,15.26,35.2,397.1873684,438.1576,8.014483374
2015.8348,Polarstern,304.7049,-2.1168,50.1611,15.259,35.201,397.1874464,438.0956,8.014540803
2015.8348,Polarstern,304.7056,-2.1215,50.1602,15.257,35.202,397.1875245,438.0151,8.014613837
2015.8348,Polarstern,304.7063,-2.1263,50.1593,15.256,35.203,397.1876025,438.1867,8.014472094
2015.8348,Polarstern,304.7069,-2.1309,50.1584,15.254,35.203,397.1876695,438.2455,8.014421614
2015.8348,Polarstern,304.7076,-2.1357,50.1574,15.253,35.204,397.1877475,438.4098,8.014286158
2015.8348,Polarstern,304.7083,-2.1404,50.1565,15.252,35.205,397.1878256,438.2954,8.014388218
2015.8348,Polarstern,304.709,-2.1449,50.1555,15.251,35.205,397.1879036,438.3293,8.014359147
2015.8348,Polarstern,304.7097,-2.1497,50.1546,15.25,35.206,397.1879817,438.3108,8.014379482
2015.8348,Polarstern,304.7104,-2.1543,50.1536,15.249,35.207,397.1880598,438.3881,8.014318174
2015.8348,Polarstern,304.7111,-2.1589,50.1526,15.248,35.207,397.1881378,438.2737,8.014415491
2015.8348,Polarstern,304.7118,-2.1635,50.1516,15.248,35.208,397.1882159,438.3785,8.014330922
2015.8348,Polarstern,304.7125,-2.1683,50.1507,15.246,35.209,397.1882939,438.6711,8.014086041
2015.8348,Polarstern,304.7132,-2.1729,50.1498,15.245,35.209,397.188372,438.3664,8.014345441
2015.8348,Polarstern,304.7139,-2.1776,50.1489,15.243,35.21,397.1884501,438.5121,8.014225683
2015.8348,Polarstern,304.7146,-2.1822,50.148,15.242,35.211,397.1885281,438.4501,8.014283073
2015.8348,Polarstern,304.7153,-2.1868,50.1471,15.241,35.212,397.1886062,438.7177,8.014059695
2015.8348,Polarstern,304.716,-2.1914,50.1462,15.239,35.212,397.1886843,438.6371,8.014127976
2015.8348,Polarstern,304.7167,-2.1958,50.1453,15.237,35.213,397.1887623,438.6959,8.014082282
2015.8348,Polarstern,304.7174,-2.2007,50.1443,15.235,35.213,397.1888404,439.1369,8.013706516
2015.8348,Polarstern,304.7181,-2.2052,50.1433,15.234,35.214,397.1889185,439.0748,8.013763925
2015.8348,Polarstern,304.7188,-2.2098,50.1424,15.232,35.215,397.1889965,439.0812,8.013762861
2015.8348,Polarstern,304.7194,-2.2146,50.1415,15.232,35.215,397.1890635,439.273,8.013599677
2015.8348,Polarstern,304.7201,-2.2191,50.1406,15.23,35.216,397.1891415,439.2794,8.013598614
2015.8349,Polarstern,304.7208,-2.2236,50.1397,15.228,35.217,397.1892196,439.3382,8.013552981
2015.8349,Polarstern,304.7215,-2.2282,50.1388,15.226,35.218,397.1892977,439.2063,8.013669562
2015.8349,Polarstern,304.7229,-2.2343,50.1377,15.224,35.219,397.1894538,439.4556,8.0134619
2015.8349,Polarstern,304.7236,-2.2386,50.1368,15.223,35.219,397.1895319,439.7673,8.013196749
2015.8349,Polarstern,304.7243,-2.2431,50.1357,15.221,35.22,397.1896099,439.827,8.013150397
2015.8349,Polarstern,304.725,-2.2474,50.1347,15.219,35.221,397.189688,439.8847,8.01310575
2015.8349,Polarstern,304.7257,-2.2518,50.1338,15.217,35.221,397.1897661,439.9434,8.013055505
2015.8349,Polarstern,304.7264,-2.2561,50.1328,15.216,35.221,397.1898441,440.0207,8.012989655
2015.8349,Polarstern,304.7271,-2.2606,50.1319,15.214,35.222,397.1899222,440.2189,8.012825718
2015.8349,Polarstern,304.7278,-2.265,50.131,15.213,35.223,397.1900003,440.2003,8.012846074
2015.8349,Polarstern,304.7285,-2.2695,50.1303,15.211,35.223,397.1873289,440.3026,8.012758844
2015.8349,Polarstern,304.7292,-2.274,50.1295,15.21,35.224,397.1874071,440.3799,8.012697793
2015.8349,Polarstern,304.7299,-2.2784,50.1287,15.209,35.225,397.1874852,440.6483,8.012474611
2015.8349,Polarstern,304.7306,-2.2827,50.1279,15.207,35.225,397.1875634,440.7592,8.012380162
2015.8349,Polarstern,304.7313,-2.2869,50.1269,15.205,35.225,397.1876415,440.9568,8.012212223
2015.8349,Polarstern,304.7319,-2.2912,50.126,15.204,35.226,397.1877085,440.9904,8.012188301
2015.8349,Polarstern,304.7326,-2.2955,50.125,15.202,35.227,397.1877867,441.0928,8.012105873
2015.8349,Polarstern,304.7333,-2.2999,50.1242,15.201,35.227,397.1878648,441.1179,8.012084406
2015.8349,Polarstern,304.734,-2.3043,50.1233,15.201,35.227,397.187943,441.3098,8.011921801
2015.8349,Polarstern,304.7347,-2.3086,50.1224,15.2,35.228,397.1880211,441.1952,8.012023461
2015.8349,Polarstern,304.7354,-2.313,50.1215,15.199,35.228,397.1880993,441.2287,8.011994881
2015.8349,Polarstern,304.7361,-2.3176,50.1207,15.198,35.228,397.1881774,441.306,8.011929193
2015.8349,Polarstern,304.7368,-2.3225,50.1198,15.197,35.229,397.1882556,441.4792,8.011787048
2015.8349,Polarstern,304.7375,-2.3276,50.1189,15.197,35.229,397.1883337,441.2877,8.011949259
2015.8349,Polarstern,304.7382,-2.3325,50.118,15.196,35.229,397.1884119,441.5127,8.011758482
2015.8349,Polarstern,304.7389,-2.3376,50.117,15.195,35.23,397.1884901,441.6337,8.011660589
2015.8349,Polarstern,304.7396,-2.3425,50.1159,15.194,35.23,397.1885682,441.7109,8.011595038
2015.8349,Polarstern,304.7403,-2.3474,50.1148,15.192,35.231,397.1886464,441.7257,8.011586875
2015.8349,Polarstern,304.741,-2.3523,50.1137,15.192,35.231,397.1887245,441.8133,8.01151273
2015.8349,Polarstern,304.7417,-2.3572,50.1126,15.191,35.232,397.1888027,441.8467,8.011489025
2015.8349,Polarstern,304.7424,-2.3621,50.1116,15.191,35.232,397.1888808,442.1344,8.011245625
2015.8349,Polarstern,304.7431,-2.367,50.1107,15.189,35.232,397.188959,442.0531,8.011313995
2015.8349,Polarstern,304.7438,-2.3721,50.1097,15.188,35.233,397.1890371,441.9824,8.011378367
2015.8349,Polarstern,304.7444,-2.3769,50.1088,15.187,35.233,397.1891041,441.9637,8.01139399
2015.8349,Polarstern,304.7451,-2.3817,50.1079,15.186,35.233,397.1891823,442.0409,8.011328479
2015.8349,Polarstern,304.7458,-2.3864,50.1071,15.186,35.233,397.1892605,442.1368,8.01124736
2015.8349,Polarstern,304.7465,-2.391,50.1061,15.186,35.233,397.1893386,442.1368,8.01124736
2015.8349,Polarstern,304.7472,-2.3956,50.1051,15.185,35.233,397.1894168,441.8825,8.0114623
2015.8349,Polarstern,304.7479,-2.4001,50.1042,15.184,35.234,397.1894949,442.1515,8.011239289
2015.8349,Polarstern,304.7486,-2.4048,50.1032,15.183,35.234,397.1895731,442.2287,8.011173801
2015.8349,Polarstern,304.7493,-2.4094,50.1022,15.183,35.234,397.1896513,442.3246,8.011092713
2015.8349,Polarstern,304.7507,-2.4155,50.1008,15.181,35.235,397.1898076,442.0954,8.011290901
2015.8349,Polarstern,304.7514,-2.42,50.0999,15.181,35.235,397.1898857,442.2872,8.011128695
2015.8349,Polarstern,304.7521,-2.4246,50.099,15.179,35.235,397.1899639,442.058,8.011322138
2015.8349,Polarstern,304.7528,-2.4291,50.0981,15.179,35.235,397.1900421,442.1539,8.01124102
2015.8349,Polarstern,304.7535,-2.4338,50.0972,15.178,35.235,397.1901202,444.0049,8.009678228
2015.8349,Polarstern,304.7542,-2.4384,50.0964,15.178,35.235,397.1901984,442.2749,8.011138494
2015.8349,Polarstern,304.7549,-2.443,50.0955,15.177,35.235,397.1902766,442.3522,8.011072936
2015.8349,Polarstern,304.7556,-2.4476,50.0947,15.176,35.236,397.1903547,442.2375,8.011174479
2015.8349,Polarstern,304.7563,-2.4522,50.0938,15.175,35.236,397.1904329,442.3586,8.011071884
2015.835,Polarstern,304.7569,-2.4568,50.0929,15.174,35.236,397.1904999,442.392,8.011043446
2015.835,Polarstern,304.7576,-2.4612,50.0919,15.172,35.236,397.1905781,442.3025,8.011118712
2015.835,Polarstern,304.7583,-2.4656,50.0909,15.171,35.237,397.1906562,442.1878,8.011220266
2015.835,Polarstern,304.759,-2.47,50.09,15.171,35.237,397.1907344,442.2838,8.011139083
2015.835,Polarstern,304.7597,-2.4745,50.089,15.171,35.237,397.1908126,442.4318,8.011013958
2015.835,Polarstern,304.7604,-2.4791,50.088,15.17,35.237,397.1908907,442.2733,8.011147761
2015.835,Polarstern,304.7611,-2.4835,50.0871,15.169,35.237,397.1909689,442.1586,8.01124456
2015.835,Polarstern,304.7618,-2.488,50.0863,15.168,35.237,397.1910471,441.9482,8.011422353
2015.835,Polarstern,304.7625,-2.4925,50.0855,15.167,35.237,397.1911252,442.0253,8.011356919
2015.835,Polarstern,304.7632,-2.497,50.0847,15.166,35.238,397.1912034,441.9108,8.01145836
2015.835,Polarstern,304.7639,-2.5016,50.0838,15.166,35.238,397.1912816,442.2944,8.011133873
2015.835,Polarstern,304.7646,-2.5061,50.0829,15.165,35.238,397.1913597,441.9441,8.011429981
2015.835,Polarstern,304.7653,-2.5109,50.0819,15.165,35.237,397.1914379,442.1797,8.011225909
2015.835,Polarstern,304.766,-2.5155,50.081,15.165,35.238,397.1915161,441.9441,8.011429981
2015.835,Polarstern,304.7667,-2.52,50.0801,15.165,35.238,397.1915943,442.1797,8.01123067
2015.835,Polarstern,304.7674,-2.5246,50.0792,15.163,35.238,397.1916724,442.0903,8.011305885
2015.835,Polarstern,304.7681,-2.5291,50.0783,15.161,35.238,397.1917506,442.0446,8.011344143
2015.835,Polarstern,304.7688,-2.5336,50.0774,15.16,35.238,397.1918288,441.9821,8.011396821
2015.835,Polarstern,304.7694,-2.5381,50.0765,15.161,35.237,397.1918958,442.0008,8.011376439
2015.835,Polarstern,304.7701,-2.5425,50.0755,15.16,35.238,397.191974,442.0259,8.011359762
2015.835,Polarstern,304.7708,-2.547,50.0746,15.16,35.238,397.1920521,442.0779,8.01131577
2015.835,Polarstern,304.7715,-2.5515,50.0737,15.158,35.239,397.1921303,441.9885,8.011395763
2015.835,Polarstern,304.7729,-2.5561,50.0728,15.158,35.238,397.1922867,442.0405,8.011347006
2015.835,Polarstern,304.7736,-2.5605,50.0718,15.158,35.238,397.1923648,442.0405,8.011347006
2015.835,Polarstern,304.7743,-2.565,50.0708,15.157,35.238,397.192443,441.9258,8.011443856
2015.835,Polarstern,304.775,-2.5694,50.0699,15.157,35.239,397.1925212,441.6383,8.01169198
2015.835,Polarstern,304.7757,-2.5738,50.069,15.157,35.239,397.1925994,441.6383,8.01169198
2015.835,Polarstern,304.7764,-2.5783,50.0682,15.156,35.239,397.1926775,441.7153,8.011626586
2015.835,Polarstern,304.7771,-2.5829,50.0673,15.155,35.239,397.1927557,441.6528,8.011679301
2015.835,Polarstern,304.7778,-2.5874,50.0663,15.155,35.239,397.1928339,441.8882,8.011480033
2015.835,Polarstern,304.7785,-2.5935,50.065,15.155,35.239,397.1929121,441.5047,8.011804717
2015.835,Polarstern,304.7792,-2.5981,50.0641,15.154,35.239,397.1929902,441.4339,8.011864487
2015.835,Polarstern,304.7799,-2.6028,50.0632,15.154,35.239,397.1930684,441.3379,8.011945815
2015.835,Polarstern,304.7806,-2.6075,50.0622,15.154,35.239,397.1931466,441.3379,8.011945815
2015.835,Polarstern,304.7813,-2.6122,50.0613,15.153,35.239,397.1932248,441.2671,8.012005606
2015.835,Polarstern,304.7819,-2.6169,50.0603,15.152,35.239,397.1932918,441.1524,8.012102613
2015.835,Polarstern,304.7826,-2.6216,50.0594,15.152,35.239,397.19337,441.3876,8.011903308
2015.835,Polarstern,304.7833,-2.6263,50.0585,15.152,35.239,397.1934482,441.2479,8.012021676
2015.835,Polarstern,304.784,-2.6309,50.0576,15.152,35.239,397.1935263,441.1956,8.012065999
2015.835,Polarstern,304.7847,-2.6355,50.0567,15.151,35.239,397.1936045,440.6541,8.012524982
2015.835,Polarstern,304.7854,-2.6399,50.0559,15.151,35.239,397.1936827,440.6541,8.012524982
2015.835,Polarstern,304.7861,-2.6444,50.055,15.152,35.239,397.1937609,440.629,8.012546476
2015.835,Polarstern,304.7868,-2.649,50.054,15.15,35.24,397.1938391,440.3999,8.012745273
2015.835,Polarstern,304.7875,-2.6535,50.0531,15.151,35.239,397.1939173,440.2781,8.012844122
2015.8351,Polarstern,304.8153,-2.8258,50.0183,15.163,35.224,397.1970226,431.6324,8.020181924
2015.8351,Polarstern,304.816,-2.8303,50.0174,15.161,35.224,397.1971008,431.3085,8.020461668
2015.8351,Polarstern,304.8167,-2.8347,50.0165,15.162,35.223,397.197179,430.9909,8.020731913
2015.8351,Polarstern,304.8174,-2.8393,50.0156,15.162,35.223,397.1972572,430.8905,8.020818823
2015.8351,Polarstern,304.8188,-2.8439,50.0146,15.162,35.223,397.1974136,430.7947,8.020901768
2015.8351,Polarstern,304.8194,-2.8484,50.0138,15.158,35.223,397.1974806,430.1045,8.021499213
2015.8351,Polarstern,304.8201,-2.8528,50.0128,15.16,35.222,397.1975588,429.811,8.021749399
2015.8351,Polarstern,304.8208,-2.8572,50.0119,15.159,35.222,397.197637,429.2767,8.022213113
2015.8351,Polarstern,304.8215,-2.8617,50.0111,15.159,35.222,397.1977152,429.2075,8.022273229
2015.8351,Polarstern,304.8222,-2.8663,50.0102,15.16,35.221,397.1977934,428.9438,8.022497831
2015.8351,Polarstern,304.8229,-2.8706,50.0094,15.158,35.222,397.1978716,428.4712,8.022913265
2015.8351,Polarstern,304.8236,-2.875,50.0086,15.158,35.221,397.1979498,428.1307,8.023204939
2015.8351,Polarstern,304.8243,-2.8793,50.0077,15.159,35.221,397.198028,427.9623,8.023351753
2015.8351,Polarstern,304.825,-2.8837,50.0069,15.157,35.221,397.1981063,427.4049,8.023837275
2015.8351,Polarstern,304.8257,-2.8881,50.006,15.156,35.221,397.1981845,427.1953,8.024019959
2015.8351,Polarstern,304.8264,-2.8923,50.0051,15.156,35.221,397.1982627,426.7588,8.024400975
2015.8351,Polarstern,304.8271,-2.8966,50.0042,15.155,35.221,397.1983409,426.4468,8.024673385
2015.8351,Polarstern,304.8278,-2.901,50.0033,15.154,35.221,397.1984191,425.8186,8.025222569
2015.8351,Polarstern,304.8285,-2.9052,50.0024,15.153,35.22,397.1984973,425.5019,8.025494935
2015.8351,Polarstern,304.8292,-2.9097,50.0014,15.153,35.22,397.1985755,425.3525,8.025625773
2015.8352,Polarstern,304.8299,-2.914,50.0005,15.152,35.221,397.1986537,424.8672,8.026055628
2015.8352,Polarstern,304.8306,-2.9183,49.9997,15.152,35.22,397.1987319,424.7525,8.026151506
2015.8352,Polarstern,304.8313,-2.9226,49.9988,15.153,35.22,397.1960719,424.5251,8.026351124
2015.8352,Polarstern,304.8319,-2.9269,49.998,15.152,35.22,397.196139,424.0474,8.026770348
2015.8352,Polarstern,304.8326,-2.9312,49.9972,15.151,35.22,397.1962173,423.8723,8.026924035
2015.8352,Polarstern,304.8333,-2.9355,49.9964,15.151,35.219,397.1962956,423.7226,8.02705089
2015.8352,Polarstern,304.834,-2.9413,49.9953,15.151,35.219,397.1991118,423.2096,8.027502028
2015.8352,Polarstern,304.8347,-2.9455,49.9945,15.15,35.219,397.19919,423.2795,8.027440395
2015.8352,Polarstern,304.8354,-2.9497,49.9937,15.15,35.217,397.1992682,422.9921,8.027683921
2015.8352,Polarstern,304.8361,-2.9539,49.9928,15.152,35.216,397.1993464,422.8781,8.027779856
2015.8352,Polarstern,304.8368,-2.9582,49.992,15.151,35.216,397.1994246,422.9141,8.027748026
2015.8352,Polarstern,304.8375,-2.9625,49.9911,15.151,35.215,397.1995028,422.7225,8.027912058
2015.8352,Polarstern,304.8382,-2.9667,49.9902,15.149,35.215,397.1995811,422.8244,8.027822048
2015.8352,Polarstern,304.8396,-2.9709,49.9894,15.15,35.215,397.1997375,422.7046,8.027927693
2015.8352,Polarstern,304.8403,-2.9752,49.9885,15.148,35.214,397.1998157,422.5191,8.028086165
2015.8352,Polarstern,304.841,-2.9793,49.9876,15.148,35.214,397.1998939,422.3898,8.028200121
2015.8352,Polarstern,304.8417,-2.9835,49.9868,15.146,35.213,397.1999721,422.3578,8.02822337
2015.8352,Polarstern,304.8424,-2.9878,49.9859,15.144,35.212,397.2000503,422.4058,8.0281761
2015.8352,Polarstern,304.8431,-2.9919,49.9851,15.14,35.212,397.1973916,422.3678,8.028209069
2015.8352,Polarstern,304.8438,-2.9962,49.9842,15.135,35.212,397.1974699,422.3658,8.02821017
2015.8352,Polarstern,304.8444,-3.0005,49.9832,15.134,35.212,397.197537,422.1108,8.028434896
2015.8352,Polarstern,304.8451,-3.005,49.9822,15.134,35.211,397.1976153,421.8774,8.028636119
2015.8352,Polarstern,304.8458,-3.0095,49.9813,15.133,35.211,397.2004303,422.0844,8.028453354
2015.8352,Polarstern,304.8465,-3.0139,49.9802,15.133,35.211,397.2005085,421.8092,8.028696178
2015.8352,Polarstern,304.8472,-3.0185,49.979,15.131,35.212,397.2005867,421.7735,8.028732122
2015.8352,Polarstern,304.8479,-3.0229,49.9779,15.128,35.213,397.2006649,421.5701,8.028916002
2015.8352,Polarstern,304.8486,-3.0273,49.9769,15.125,35.213,397.2007431,421.5078,8.02897063
2015.8352,Polarstern,304.8493,-3.0317,49.9759,15.122,35.213,397.2008213,421.4214,8.029046555
2015.8352,Polarstern,304.85,-3.0361,49.9749,15.119,35.214,397.2008996,421.4549,8.029021264
2015.8352,Polarstern,304.8507,-3.0407,49.9738,15.118,35.213,397.2009778,421.4876,8.028987555
2015.8352,Polarstern,304.8514,-3.0451,49.9728,15.117,35.213,397.19832,421.6404,8.028852481
2015.8352,Polarstern,304.8521,-3.0496,49.9716,15.115,35.213,397.1983983,421.617,8.028872879
2015.8352,Polarstern,304.8528,-3.0539,49.9704,15.114,35.212,397.1984766,421.458,8.029008479
2015.8352,Polarstern,304.8535,-3.0581,49.9691,15.113,35.213,397.1985549,421.1981,8.029242687
2015.8352,Polarstern,304.8542,-3.0626,49.9678,15.113,35.215,397.1986332,420.9197,8.029498205
2015.8352,Polarstern,304.8549,-3.0668,49.9665,15.111,35.216,397.1987115,420.6295,8.029759357
2015.8352,Polarstern,304.8556,-3.0709,49.9651,15.111,35.217,397.1987898,420.4795,8.029896805
2015.8352,Polarstern,304.8563,-3.0749,49.9636,15.112,35.217,397.1988681,420.3057,8.030050805
2015.8352,Polarstern,304.8569,-3.079,49.9621,15.11,35.218,397.1989352,419.9537,8.030367058
2015.8352,Polarstern,304.8576,-3.0831,49.9606,15.106,35.221,397.1990135,419.4359,8.030839739
2015.8352,Polarstern,304.8583,-3.0873,49.9593,15.105,35.224,397.1990918,419.1723,8.031087595
2015.8352,Polarstern,304.859,-3.0916,49.9579,15.107,35.224,397.1991701,418.6428,8.031558118
2015.8352,Polarstern,304.8597,-3.0958,49.9565,15.107,35.225,397.1992484,418.6328,8.031571688
2015.8352,Polarstern,304.8604,-3.0998,49.9551,15.105,35.224,397.1993267,418.7347,8.031476216
2015.8352,Polarstern,304.8611,-3.1038,49.9535,15.104,35.224,397.199405,418.5797,8.031613834
2015.8352,Polarstern,304.8625,-3.1092,49.9516,15.104,35.226,397.1995616,418.6212,8.031586318
2015.8352,Polarstern,304.8632,-3.1133,49.9502,15.105,35.225,397.1996399,418.5974,8.031602907
2015.8352,Polarstern,304.8639,-3.1174,49.9487,15.105,35.225,397.1997182,418.5845,8.031614372
2015.8352,Polarstern,304.8646,-3.1215,49.9473,15.106,35.225,397.1997965,418.5607,8.031635646
2015.8352,Polarstern,304.8653,-3.1257,49.9459,15.106,35.225,397.1998748,418.2834,8.031882187
2015.8352,Polarstern,304.866,-3.1298,49.9445,15.106,35.224,397.1999531,418.5607,8.031630963
2015.8353,Polarstern,304.8667,-3.1341,49.9431,15.109,35.224,397.2000314,418.378,8.031793741
2015.8353,Polarstern,304.8674,-3.1383,49.9417,15.108,35.225,397.2001097,418.6376,8.031567543
2015.8353,Polarstern,304.8681,-3.1425,49.9404,15.106,35.226,397.2001881,418.3249,8.031849963
2015.8353,Polarstern,304.8688,-3.1465,49.9391,15.106,35.225,397.2002664,418.3249,8.031845281
2015.8353,Polarstern,304.8694,-3.1505,49.9376,15.106,35.227,397.2003335,418.4105,8.031778532
2015.8353,Polarstern,304.8701,-3.1545,49.9361,15.107,35.227,397.2004118,418.6199,8.031592519
2015.8353,Polarstern,304.8708,-3.1585,49.9347,15.109,35.227,397.2004901,418.3365,8.031844688
2015.8353,Polarstern,304.8715,-3.1625,49.9333,15.109,35.227,397.2005684,418.4766,8.031720127
2015.8353,Polarstern,304.8722,-3.1665,49.9319,15.108,35.227,397.2006467,418.5003,8.031698939
2015.8353,Polarstern,304.8729,-3.1706,49.9305,15.107,35.228,397.200725,418.2054,8.031965725
2015.8353,Polarstern,304.8736,-3.1746,49.9291,15.107,35.229,397.2008033,418.1639,8.032007321
2015.8353,Polarstern,304.8743,-3.1786,49.9276,15.108,35.229,397.2008816,418.1687,8.03200317
2015.8353,Polarstern,304.875,-3.1829,49.9261,15.11,35.229,397.20096,418.1626,8.032008833
2015.8353,Polarstern,304.8757,-3.1869,49.9247,15.112,35.229,397.2010383,418.185,8.031989144
2015.8353,Polarstern,304.8764,-3.1911,49.9232,15.109,35.231,397.2011166,418.4507,8.031761879
2015.8353,Polarstern,304.8771,-3.1951,49.9219,15.103,35.234,397.2011949,418.3031,8.031906443
2015.8353,Polarstern,304.8778,-3.1993,49.9205,15.096,35.235,397.2012732,418.3607,8.031859065
2015.8353,Polarstern,304.8785,-3.2036,49.9191,15.088,35.237,397.2013515,418.2191,8.031993395
2015.8353,Polarstern,304.8792,-3.2077,49.9178,15.082,35.239,397.2014298,418.24,8.031983441
2015.8353,Polarstern,304.8799,-3.2119,49.9165,15.072,35.241,397.2015081,417.6076,8.032554486
2015.8353,Polarstern,304.8806,-3.2161,49.9151,15.063,35.243,397.2015865,417.9481,8.032259575
2015.8353,Polarstern,304.8813,-3.2203,49.9139,15.057,35.244,397.2016648,418.1061,8.032122907
2015.8353,Polarstern,304.8819,-3.2248,49.9125,15.055,35.243,397.2017319,417.8922,8.032308353
2015.8353,Polarstern,304.8826,-3.2292,49.9113,15.048,35.245,397.2018102,417.5769,8.03259764
2015.8353,Polarstern,304.8833,-3.2335,49.91,15.043,35.246,397.2018885,417.6697,8.032519042
2015.8353,Polarstern,304.884,-3.2378,49.9086,15.043,35.246,397.2019668,417.5739,8.032604378
2015.8353,Polarstern,304.8847,-3.242,49.9073,15.041,35.247,397.2020452,417.5386,8.032640261
2015.8353,Polarstern,304.8854,-3.2462,49.906,15.038,35.248,397.2021235,417.4856,8.032691794
2015.8353,Polarstern,304.8861,-3.2504,49.9047,15.033,35.25,397.2022018,417.291,8.032873974
2015.8353,Polarstern,304.8868,-3.2545,49.9034,15.028,35.25,397.2022801,417.2441,8.032915168
2015.8353,Polarstern,304.8875,-3.2587,49.9021,15.02,35.253,397.2023584,417.1881,8.032978147
2015.8353,Polarstern,304.8882,-3.263,49.9007,15.004,35.258,397.2024368,417.366,8.03284094
2015.8353,Polarstern,304.8889,-3.2673,49.8994,14.987,35.26,397.2025151,417.1073,8.033078813
2015.8353,Polarstern,304.8903,-3.2733,49.8975,14.972,35.261,397.2026717,417.4268,8.032796676
2015.8353,Polarstern,304.891,-3.2775,49.8962,14.958,35.264,397.20275,417.1383,8.03306614
2015.8353,Polarstern,304.8917,-3.2817,49.8948,14.948,35.264,397.2028284,416.8967,8.03328039
2015.8353,Polarstern,304.8924,-3.2861,49.8934,14.94,35.265,397.2029067,417.1281,8.033077544
2015.8353,Polarstern,304.8931,-3.2903,49.8921,14.93,35.267,397.202985,416.9128,8.033277684
2015.8353,Polarstern,304.8938,-3.2946,49.8908,14.917,35.27,397.2030633,416.9577,8.033249916
2015.8353,Polarstern,304.8944,-3.2988,49.8893,14.905,35.27,397.2031304,417.149,8.033077585
2015.8353,Polarstern,304.8951,-3.303,49.8879,14.892,35.272,397.2032088,417.5275,8.032747607
2015.8353,Polarstern,304.8958,-3.3073,49.8865,14.877,35.276,397.2032871,417.5499,8.032744269
2015.8353,Polarstern,304.8965,-3.3115,49.8851,14.868,35.275,397.2033654,417.942,8.03238889
2015.8353,Polarstern,304.8972,-3.3157,49.8838,14.864,35.274,397.2034437,418.2985,8.032066184
2015.8353,Polarstern,304.8979,-3.3197,49.8825,14.862,35.273,397.2035221,418.5505,8.031836956
2015.8353,Polarstern,304.8986,-3.3239,49.8812,14.861,35.273,397.2036004,418.6286,8.031767335
2015.8353,Polarstern,304.8993,-3.3281,49.88,14.861,35.273,397.2036787,418.6385,8.031758529
2015.8353,Polarstern,304.9,-3.3323,49.8788,14.864,35.272,397.203757,418.969,8.031460426
2015.8353,Polarstern,304.9007,-3.3364,49.8775,14.868,35.272,397.2038354,418.8583,8.031559424
2015.8353,Polarstern,304.9014,-3.3405,49.8762,14.87,35.272,397.2039137,419.0339,8.031403642
2015.8353,Polarstern,304.9021,-3.3445,49.8749,14.874,35.272,397.203992,418.8273,8.031587872
2015.8354,Polarstern,304.9028,-3.3486,49.8735,14.877,35.272,397.2040703,419.0721,8.031370738
2015.8354,Polarstern,304.9035,-3.3527,49.8721,14.878,35.272,397.2041487,419.3131,8.031156798
2015.8354,Polarstern,304.9042,-3.3569,49.8708,14.88,35.272,397.204227,419.2626,8.031201947
